"","year","price_gram","price_total","kg_buche","kg_total","count_buche","condition_infer","condition","place","source","sp_sci","sp_com","tma","infl","p_g_r","p_t_r","y_dry"
"62",2016,NA,NA,NA,4,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"63",2016,NA,NA,NA,NA,3,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"64",2016,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"65",2016,NA,NA,1.4,1.4,1,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"66",2017,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"67",2017,NA,NA,0.2,2.8,14,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"68",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"69",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"70",2017,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"71",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"72",2017,NA,NA,NA,NA,24,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"73",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"74",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"75",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"76",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"77",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"78",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"79",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"80",2017,NA,NA,0.07,26,375,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"81",2017,NA,NA,7,70,10,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"82",2017,NA,NA,NA,0,0,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"83",2018,NA,NA,NA,28,NA,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"84",2018,NA,NA,1.75,7,4,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"85",2018,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"86",2018,NA,NA,0.35,30.5,87,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"87",2018,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"88",2018,NA,NA,0.49,10.83,22,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"89",2018,NA,NA,0.7,19,27,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"90",2018,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"91",2018,NA,NA,NA,20.9,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"92",2018,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"93",2018,NA,NA,NA,NA,32,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"94",2018,NA,NA,NA,NA,408,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
